SampleSize,X-UIUP-Training%,X-UIUP-Testing%,MH-UIUP-Training%,MH-UIUP-Testing%,MH-UICP-1-Training%,MH-UICP-1-Testing%,MH-CIUP-1-Training%,MH-CIUP-1-Testing%,MH-SCICP-Training%,MH-SCICP-Testing%
1,1,0.469685,1,0.390921,1,0.395127,1,0.415039,1,0.402976
2,1,0.574435,1,0.432937,1,0.413478,1,0.451812,1,0.425118
3,1,0.6033,0.95,0.442738,0.983333,0.462644,0.933333,0.437008,1,0.449345
4,1,0.59738,0.9875,0.483753,0.9625,0.482497,0.9625,0.449114,0.9875,0.504604
5,1,0.630975,0.95,0.508952,0.96,0.455552,0.95,0.494592,0.99,0.484418
6,1,0.640355,0.941667,0.547846,0.941667,0.501851,0.958333,0.492385,0.925,0.512988
7,1,0.632075,0.942857,0.547387,0.964286,0.563794,0.957143,0.516221,0.928571,0.447879
8,1,0.641275,0.91875,0.508456,0.95,0.500672,0.95,0.543212,0.91875,0.536322
9,0.983333,0.648055,0.938889,0.592692,0.9,0.576752,0.922222,0.519306,0.933333,0.525216
10,0.975,0.62913,0.93,0.596348,0.935,0.58228,0.92,0.533598,0.905,0.523811
20,0.9475,0.758535,0.8775,0.67394,0.89,0.608828,0.905,0.632289,0.905,0.598903
30,0.931667,0.78381,0.878333,0.714212,0.895,0.717079,0.876667,0.689679,0.896667,0.679459
40,0.9225,0.78256,0.8775,0.746529,0.89375,0.71164,0.9075,0.725227,0.8675,0.696657
50,0.897,0.769825,0.901,0.78164,0.888,0.736768,0.887,0.735886,0.868,0.714872
60,0.9,0.800465,0.870833,0.767694,0.886667,0.725928,0.876667,0.75308,0.863333,0.730711
70,0.883571,0.796965,0.870714,0.768265,0.887857,0.764145,0.890714,0.774397,0.855714,0.732156
80,0.891875,0.8039,0.875,0.800082,0.86,0.756913,0.864375,0.727407,0.875,0.739769
90,0.892778,0.818555,0.868889,0.792168,0.872222,0.762388,0.88,0.774846,0.880556,0.763626
100,0.8815,0.826305,0.872,0.801141,0.8825,0.777376,0.876,0.782529,0.8595,0.765832
110,0.886364,0.819575,0.867273,0.802002,0.877727,0.764302,0.891818,0.797172,0.885909,0.798088
120,0.885,0.816445,0.86375,0.799405,0.86,0.783219,0.86,0.789466,0.867083,0.77567
130,0.886154,0.82897,0.860769,0.810543,0.875385,0.796998,0.854231,0.782699,0.850385,0.773145
140,0.884286,0.83025,0.859643,0.816683,0.883571,0.81368,0.871429,0.799755,0.880714,0.806506
150,0.881333,0.829295,0.866333,0.814662,0.868333,0.804738,0.871333,0.796113,0.866667,0.795658
160,0.884063,0.830825,0.870625,0.822601,0.867188,0.801247,0.868125,0.807266,0.870313,0.801956
170,0.870588,0.836165,0.863824,0.815232,0.864118,0.801138,0.870588,0.806724,0.868235,0.807476
180,0.874722,0.83813,0.873333,0.824656,0.867778,0.806761,0.865,0.809394,0.870278,0.808503
190,0.87,0.83693,0.864474,0.817881,0.860526,0.794403,0.863684,0.810307,0.861579,0.79718
200,0.874,0.84404,0.8665,0.824942,0.86825,0.812383,0.85975,0.806529,0.86675,0.802279
210,0.872143,0.84336,0.868333,0.820423,0.867143,0.807417,0.856667,0.798144,0.862857,0.813273
220,0.868864,0.839965,0.861591,0.83396,0.853409,0.818907,0.866818,0.824033,0.853409,0.804784
230,0.866957,0.84301,0.858696,0.834632,0.869783,0.816465,0.863261,0.812623,0.863261,0.820116
240,0.873333,0.846685,0.870833,0.833734,0.866458,0.811698,0.862083,0.818759,0.864792,0.813212
250,0.8762,0.84767,0.8652,0.836332,0.8756,0.828655,0.871,0.816031,0.8668,0.821425
