SampleSize,X-UIUP-Training%,X-UIUP-Testing%,MH-UIUP-Training%,MH-UIUP-Testing%,MH-UICP-1-Training%,MH-UICP-1-Testing%,MH-CIUP-1-Training%,MH-CIUP-1-Testing%,MH-SCICP-Training%,MH-SCICP-Testing%
1,1,0.55,1,0.528476,1,0.543062,1,0.412711,1,0.472243
2,1,0.575,1,0.54919,1,0.489489,1,0.58255,1,0.491536
3,1,0.700005,1,0.588927,1,0.5398,1,0.576165,1,0.514958
4,1,0.6875,1,0.555142,1,0.591295,1,0.583146,1,0.610374
5,1,0.69,0.99,0.633082,1,0.596191,0.99,0.601281,1,0.667124
6,1,0.766665,0.991667,0.655459,0.991667,0.610194,1,0.60519,1,0.631416
7,1,0.642845,0.985714,0.699995,0.985714,0.681165,0.985714,0.650576,0.992857,0.679505
8,1,0.78125,1,0.715224,0.99375,0.732938,0.9875,0.701027,0.99375,0.679925
9,1,0.733345,0.988889,0.686416,0.988889,0.706679,0.983333,0.694376,0.988889,0.677025
10,1,0.82,0.985,0.728107,0.975,0.74929,0.99,0.752164,0.97,0.713792
20,0.995,0.865,0.96,0.823105,0.9825,0.838126,0.9625,0.792968,0.9725,0.784057
30,0.993333,0.90999,0.973333,0.863852,0.973333,0.860179,0.965,0.830176,0.983333,0.84711
40,0.99,0.93,0.97625,0.901261,0.9775,0.89858,0.98,0.869535,0.96875,0.855949
50,0.985,0.915,0.96,0.898068,0.974,0.892494,0.969,0.874299,0.967,0.880268
60,0.9775,0.90251,0.966667,0.907566,0.9775,0.905333,0.9675,0.883258,0.976667,0.898462
70,0.985714,0.932865,0.960714,0.912458,0.965,0.909644,0.975,0.906613,0.965714,0.894908
80,0.976875,0.94125,0.966875,0.92765,0.975625,0.920915,0.976875,0.917219,0.978125,0.912392
90,0.982222,0.939995,0.976667,0.941725,0.982222,0.934742,0.981111,0.926516,0.969444,0.922367
100,0.9795,0.9355,0.973,0.931257,0.974,0.932835,0.978,0.927723,0.9815,0.928023
110,0.979091,0.94364,0.975455,0.944394,0.980455,0.939955,0.975455,0.926093,0.982727,0.935231
120,0.974583,0.952075,0.975417,0.93754,0.976667,0.93607,0.96875,0.926826,0.975417,0.936143
130,0.978077,0.945775,0.975385,0.94949,0.967308,0.933081,0.979615,0.935392,0.985,0.941252
140,0.980714,0.94642,0.971786,0.944873,0.980357,0.951069,0.975357,0.947794,0.977143,0.933468
150,0.980333,0.952995,0.969667,0.939936,0.979333,0.946867,0.976667,0.938194,0.969333,0.93315
160,0.977812,0.95782,0.971563,0.943738,0.97375,0.945681,0.977188,0.943213,0.97875,0.946782
170,0.973235,0.951765,0.973824,0.951472,0.975588,0.945589,0.976765,0.948655,0.981176,0.946998
180,0.976389,0.961395,0.9725,0.947673,0.974722,0.954996,0.978333,0.950234,0.976667,0.953576
190,0.976316,0.95868,0.970263,0.945376,0.978158,0.951729,0.972632,0.94873,0.977895,0.950693
200,0.975,0.9585,0.96725,0.953598,0.981,0.955118,0.97675,0.94278,0.98075,0.950567
210,0.974762,0.96286,0.971667,0.955456,0.980238,0.956806,0.979048,0.955064,0.977143,0.954335
220,0.974091,0.958185,0.974318,0.956225,0.977727,0.958493,0.974773,0.951866,0.977727,0.956573
230,0.973261,0.96197,0.971522,0.957035,0.976957,0.958569,0.978913,0.959084,0.979783,0.959138
240,0.977083,0.9625,0.972708,0.949441,0.974583,0.954736,0.977917,0.958229,0.978125,0.95897
250,0.976,0.9596,0.9694,0.954863,0.981,0.959913,0.9784,0.954627,0.9824,0.955438
